"ID","Name","Short description","Description","Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _doralashab_sqc_source_id","Meta: _doralashab_sqc_source_url"
"52","تحفيز التفكير الابتكاري","<p>يتناول الابتكار بوصفه قدرة مؤسسية قابلة للبناء والتقييم. يشرح أنواعه وثقافته، ويعرض أدوات تساعد على قياس استعداد المنظمة للابتكار ونضج ممارساتها.</p>","<p>يتناول الابتكار بوصفه قدرة مؤسسية قابلة للبناء والتقييم. يشرح أنواعه وثقافته، ويعرض أدوات تساعد على قياس استعداد المنظمة للابتكار ونضج ممارساتها.</p>","https://cdn.salla.sa/vEbEA/lhwFFnMNapCJIbLUKhrHyXSbNX9zCwKLwuOlK2Ab.jpg","المؤلف","محمد زايري","1","0","1536533419","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AA%D8%AD%D9%81%D9%8A%D8%B2-%D8%A7%D9%84%D8%AA%D9%81%D9%83%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D9%83%D8%A7%D8%B1%D9%8A/p1536533419"
"49","تحفيز التركيز على أصحاب المصلحة","<p>يتناول تحديد أصحاب المصلحة داخل المنظمة وخارجها، وتحليل أثرهم وتوقعاتهم. ويبحث سبل التواصل معهم وإشراكهم، وعلاقة ذلك بأخلاقيات العمل والمسؤولية المجتمعية.</p>","<p>يتناول تحديد أصحاب المصلحة داخل المنظمة وخارجها، وتحليل أثرهم وتوقعاتهم. ويبحث سبل التواصل معهم وإشراكهم، وعلاقة ذلك بأخلاقيات العمل والمسؤولية المجتمعية.</p>","https://cdn.salla.sa/vEbEA/HtHJtJBHMKzL5VLYf0eRjAa572w9HXMOltHrnabL.jpg","المؤلف","محمد زايري","1","0","480268386","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AA%D8%AD%D9%81%D9%8A%D8%B2-%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%B2-%D8%B9%D9%84%D9%89-%D8%A3%D8%B5%D8%AD%D8%A7%D8%A8-%D8%A7%D9%84%D9%85%D8%B5%D9%84%D8%AD%D8%A9/p480268386"
"55","تحفيز التمركز حول العميل","<p>يبحث في بناء منظمة تجعل العميل محور قراراتها وعملياتها. يتناول إدارة تجربة العميل والاستفادة من المعلومات والمقترحات والشكاوى في تطوير الخدمات والابتكار.</p>","<p>يبحث في بناء منظمة تجعل العميل محور قراراتها وعملياتها. يتناول إدارة تجربة العميل والاستفادة من المعلومات والمقترحات والشكاوى في تطوير الخدمات والابتكار.</p>","https://cdn.salla.sa/vEbEA/GuZxDYOO9FYnUuQU0Gh5H7s3YjeTo3d2oSTFQWmI.jpg","المؤلف","محمد زايري","1","0","473744856","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AA%D8%AD%D9%81%D9%8A%D8%B2-%D8%A7%D9%84%D8%AA%D9%85%D8%B1%D9%83%D8%B2-%D8%AD%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D9%8A%D9%84/p473744856"
"28","كنوز من السنة والقرآن في الجودة والإحسان","<p>يربط جمال أغريب مبادئ الجودة والإتقان والإحسان بتوجيهات القرآن الكريم والسنة النبوية، ويصل بينها وبين مفاهيم إدارة الجودة وتطبيقاتها المهنية.</p>","<p>يربط جمال أغريب مبادئ الجودة والإتقان والإحسان بتوجيهات القرآن الكريم والسنة النبوية، ويصل بينها وبين مفاهيم إدارة الجودة وتطبيقاتها المهنية.</p>","https://cdn.salla.sa/vEbEA/tG1uWUg5uxfdBCt6eWcNXactGA2umO53ljTzA0yK.jpg","المؤلف","جمال اغريب","1","0","813749780","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D9%83%D9%86%D9%88%D8%B2-%D9%85%D9%86-%D8%A7%D9%84%D8%B3%D9%86%D8%A9-%D9%88%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%AC%D9%80%D9%88%D8%AF%D8%A9-%D9%88%D8%A7%D9%84%D8%A5%D8%AD%D8%B3%D8%A7%D9%86/p813749780"
"88","هل الجودة هي الجانب المشرق لأزماتنا الحالية والمستقبلية ؟","<p>يبحث في دور الجودة في تحسين الحياة ومواجهة الأزمات، مع تناول التجربة اليابانية وآثار جائحة كورونا. يعرض محمد زايري أفكاره عبر سبعة وعشرين فصلًا موزعة على أربعة أجزاء.</p>","<p>يبحث في دور الجودة في تحسين الحياة ومواجهة الأزمات، مع تناول التجربة اليابانية وآثار جائحة كورونا. يعرض محمد زايري أفكاره عبر سبعة وعشرين فصلًا موزعة على أربعة أجزاء.</p>","https://cdn.salla.sa/vEbEA/hHYAiuFHxPYF90m4a1MEJSN8sSKm6wUoa0SlH291.jpg","المؤلف","محمد زايري","1","0","2045987162","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D9%87%D9%84-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%87%D9%8A-%D8%A7%D9%84%D8%AC%D8%A7%D9%86%D8%A8-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82-%D9%84%D8%A3%D8%B2%D9%85%D8%A7%D8%AA%D9%86%D8%A7-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84%D9%8A%D8%A9-%D8%9F/p2045987162"
"58","جعل النزاهة رخصة للقيادة المؤسسية","<p>يتناول النزاهة بوصفها أساسًا للقيادة والثقة والتأثير الإيجابي. ويعرض مدخلًا للتقييم الذاتي يساعد القيادات على مراجعة التزامها بهذه القيمة في إدارة المنظمات واتخاذ القرارات.</p>","<p>يتناول النزاهة بوصفها أساسًا للقيادة والثقة والتأثير الإيجابي. ويعرض مدخلًا للتقييم الذاتي يساعد القيادات على مراجعة التزامها بهذه القيمة في إدارة المنظمات واتخاذ القرارات.</p>","https://cdn.salla.sa/vEbEA/GwWYP5cTpXA0HyxB1JQSYEQs45lWGk6HKzZlnEQG.jpg","المؤلف","محمد زايري","1","0","2093295259","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AC%D8%B9%D9%84-%D8%A7%D9%84%D9%86%D8%B2%D8%A7%D9%87%D8%A9-%D8%B1%D8%AE%D8%B5%D8%A9-%D9%84%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A%D8%A9/p2093295259"
"40","الرحلة العظيمة للجودة في كوريا الجنوبية","<p>يعرض تجربة كوريا الجنوبية في تطوير جودة منتجاتها وقدرتها التنافسية. ينقل وان سون شين جوانب من هذه الرحلة وممارساتها إلى القارئ العربي من خلال ترجمة أعدها المجلس السعودي للجودة.</p>","<p>يعرض تجربة كوريا الجنوبية في تطوير جودة منتجاتها وقدرتها التنافسية. ينقل وان سون شين جوانب من هذه الرحلة وممارساتها إلى القارئ العربي من خلال ترجمة أعدها المجلس السعودي للجودة.</p>","https://cdn.salla.sa/vEbEA/GE9tjmsXjgvqefNaSAHMcH02vg7xEeQpBHQxKiKI.jpg","المؤلف","وان سون شين","1","0","1870162638","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D8%B8%D9%8A%D9%85%D8%A9-%D9%84%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%81%D9%8A-%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9/p1870162638"
"43","خمسون مقالا في إدارة الجودة والتميز المؤسسي","<p>مجموعة من خمسين مقالًا لعوض سالم الحربي حول الجودة والتميز المؤسسي. تجمع بين مناقشة المفاهيم والتجارب والقضايا المهنية، وتخاطب المهتمين بالمجال والممارسين فيه.</p>","<p>مجموعة من خمسين مقالًا لعوض سالم الحربي حول الجودة والتميز المؤسسي. تجمع بين مناقشة المفاهيم والتجارب والقضايا المهنية، وتخاطب المهتمين بالمجال والممارسين فيه.</p>","https://cdn.salla.sa/vEbEA/43j6MGClyRIh7uGZWSD6xgSlC7LsYPf5VKF7204m.jpg","المؤلف","عوض سالم الحربي","1","0","1718524461","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AE%D9%85%D8%B3%D9%88%D9%86-%D9%85%D9%82%D8%A7%D9%84%D8%A7%D9%8B-%D9%81%D9%8A-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A/p1718524461"
"74","دليل المسؤولية المجتمعية","<p>دليل في المسؤولية المجتمعية وأثرها في التنمية المستدامة. يتناول المبادئ والممارسات والمواصفات المرتبطة بها، ومنها ISO 26000، ويصل بين مسؤولية المنظمة والقيم الأخلاقية وخدمة المجتمع.</p>","<p>دليل في المسؤولية المجتمعية وأثرها في التنمية المستدامة. يتناول المبادئ والممارسات والمواصفات المرتبطة بها، ومنها ISO 26000، ويصل بين مسؤولية المنظمة والقيم الأخلاقية وخدمة المجتمع.</p>","https://cdn.salla.sa/vEbEA/Ghcm7mM0ZjiRDwWBQ0c6jOq1pi9g5u95r4bYycUh.jpg","المؤلف","سعيد الزهراني, أمجد خليفة","1","0","271268518","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AF%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D8%A4%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AC%D8%AA%D9%85%D8%B9%D9%8A%D8%A9/p271268518"
"92","الجودة والتميز في التعليم","<p>يناقش تطوير التعليم العام من منظور الجودة والتميز المؤسسي، مستفيدًا من التجربة الماليزية ومقارنتها بواقع التعليم في المملكة العربية السعودية وعوامل تطويره.</p>","<p>يناقش تطوير التعليم العام من منظور الجودة والتميز المؤسسي، مستفيدًا من التجربة الماليزية ومقارنتها بواقع التعليم في المملكة العربية السعودية وعوامل تطويره.</p>","https://cdn.salla.sa/vEbEA/3ojdrcATQecMmo8PTU6GxKkT80QxJ8fx6x3LtHag.jpg","المؤلف","عدنان بن أحمد الورثان","1","0","17645018","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85/p17645018"
