"ID","Name","Meta: _doralashab_pages"
"52","تحفيز التفكير الابتكاري","189"
"49","تحفيز التركيز على أصحاب المصلحة","181"
"55","تحفيز التمركز حول العميل","229"
"28","كنوز من السنة والقرآن في الجودة والإحسان","316"
"88","هل الجودة هي الجانب المشرق لأزماتنا الحالية والمستقبلية ؟","632"
"58","جعل النزاهة رخصة للقيادة المؤسسية","210"
"40","الرحلة العظيمة للجودة في كوريا الجنوبية","448"
"43","خمسون مقالا في إدارة الجودة والتميز المؤسسي","255"
"74","دليل المسؤولية المجتمعية","162"
"92","الجودة والتميز في التعليم","282"
